Refran	Significado	Uso
Abril, aguas mil	Se trata de una constatación meteológica. En España, sobre todo en la España seca, suele llover de manera especial en el mes de abril, que se sitúa en el centro de la primavera. En la primavera suele llover, y en algunas partes de manera especial en el mes de abril. Es un agua que llega sin turbulencia (además de la abundancia que indica mil). De ese modo es buena y no causa destrozos.	De uso actual
A buenas horas, mangas verdes	Se emplea cuando la solución ya ha venido por otra vía, o no llega oportunamente, o ya no tiene interés. Se censura la demora en atender las necesidades o en solucionar los problemas.	De uso actual
A Dios rogando y con el mazo dando	Cuando deseamos algo, está bien encomendarse a Dios, a la Providencia, pero haciendo a la vez todo lo que esté en nuestra mano por lograr lo que pretendemos. En los tiempos actuales, ha tomado un sentido crítico -pero bastante errado con respecto al auténtico sentido del refrán- contra las personas que rezan a Dios, pero hacen daño. La forma A Dios rogando y al macho dando tiene un significado distinto, que explica Francisco Rodríguez Marín (1926): se decía en el campo para indicar la conveniencia de «salir presto del camino peligroso».	De uso actual
A enemigo que huye, puente de plata	Recomienda evitar a toda costa a los enemigos. Cuando un contrincante abandona, conviene darle facilidades para que se marche y, de este modo, nos deje tranquilos. En general, se recomienda facilitar, incluso de manera obsequiosa, la partida de un competidor o de quien pueda causarnos daño.	De uso actual
A falta de pan, buenas son tortas	Recomienda conformarse con lo que se tiene, si no se ha conseguido algo mejor.	De uso actual
Afortunado en el juego, desgraciado en amores	Como nadie lo tiene todo en la vida, se dice -o se aplica a sí mismo- al que la fortuna le sonríe excepto en asuntos amorosos.	De uso actual
A grandes males, grandes remedios	Ante un problema grave, no hay que temer recurrir a medios enérgicos para encontrar la solución.	De uso actual
Al gallo que canta, le aprietan la garganta	Advierte del daño que alguien puede ocasionar si no es capaz de guardar un secreto.	De uso actual
A lo hecho, pecho	Si la situación es irremediable, nada se puede cambiar y sólo queda tener fortaleza y valor para afrontarla. Este refrán se aplica en especial cuando hemos cometido un error o nos sobreviene algo no deseado pero, en esos casos, de nada sirve lamentarse, sino reaccionar.	De uso actual
Al que le pique, que se rasque	Recrimina a quien se siente afectado por alguna crítica lanzada, a su parecer, contra él.	De uso actual
Ande yo caliente, y ríase la gente	Se dice cuando uno prefiere su gusto o comodidad a someterse a la opinión de los demás o a los convencionalismos sociales. También se emplea para recomendar actuar rectamente y de acuerdo con la propia conciencia, sin tener en cuenta la opinión de los demás.	De uso actual
Año de nieves, año de bienes	El año con mucha nieve es favorable para las buenas cosechas, porque, gracias a la nieve, la tierra labrada se mantiene húmeda y esponjosa para que los cereales crezcan debidamente. Por otra parte, la nieve nutre las corrientes de agua.	De uso actual
Antes de hacer nada, consúltalo con la almohada	No es aconsejable tomar decisiones precipitadas, por lo que -al menos- resulta recomendable esperar al día siguiente antes de tomar una determinación, pues el descanso que proporciona el sueño otorga más clarividencia a la mente. También es una manera de concederse un tiempo para meditar sobre lo que conviene hacer.	De uso actual
A palabras necias, oídos sordos	Alude a la indiferencia ante la necedad de los otros. Aconseja no prestar atención ni molestarse por comentarios ajenos e impertinentes que no buscan nuestro bien ni constituyen observaciones dignas de tener en cuenta.	De uso actual
A quien madruga, Dios le ayuda	Recomienda ser diligente para para tener éxito en las pretensiones, en el trabajo.	De uso actual
A rey muerto, rey puesto	Indica la prontitud con que se ocupan los puestos vacantes o, en general, a la rapidez con la que se suceden los cambios. Se emplea con frecuencia para afirmar que nadie es imprescindible y que se olvida pronto, ya sea en el trabajo o en el amor.	De uso actual
Aunque la mona se vista de seda, mona se queda	La condición de cada uno o los defectos naturales no se pueden encubrir ni cambiar con mejoras meramente externas.	De uso actual
Ave que vuela, a la cazuela	Se dice para afirmar que todo es aprovechable.	De uso actual
Caballo grande, ande o no ande	Se emplea este refrán para encarecer algo por su gran tamaño. Se dice también para ridiculizar a quien hace ostentación de algo, ignorante de que no todo consiste en las mayores dimensiones de lo adquirido o poseído. Critica a los que eligen lo de mayor tamaño sin considerar si es lo mejor.	De uso actual
Cada loco con su tema	Cada uno siente apego por una cosa aunque no siempre de manera racional, lo que puede convertirse en una obsesión o una manía. Denota que cada persona tiene sus propias preferencias, sus propias manías, su manera de 'ser loco' para quien no comparta sus aficiones o aspiraciones.	De uso actual
Cada maestrillo tiene su librillo	Se alude a la distinta manera de actuar y de pensar que tiene cada persona.	De uso actual
Cada mochuelo a su olivo	Se emplea este refrán para indicar a cada uno que debe dirigirse a su casa y atender sus asuntos.	De uso actual
Cada oveja con su pareja	Conviene que cada uno se relacione y contraiga matrimonio con los de su categoría o con quienes tengan gustos parecidos.	De uso actual
Cada palo aguante su vela	Manifiesta que cada uno ha de sufrir lo que se merece o lo que le corresponde.	De uso actual
Cada uno tiene lo que se merece	Con esta paremia, se da a entender que las desgracias que padece alguien pueden estar provocadas por su comportamiento. También se aplica en un sentido más general para aludir a todo lo que le sobreviene a una persona.	De uso actual
Cobra buena fama y échate a dormir	Una vez que se adquiere buena fama, poco trabajo cuesta conservarla, pues no se da crédito ni a la evidencia que merecería descrédito.	De uso actual
Con el roce, nace el cariño	En ocasiones, el afecto por alguien a quien se ve con frecuencia no nace de pronto sino poco a poco. Se aplica este refrán para aludir al amor entre dos personas surgido de forma paulatina o para animar a alguien a que inicie una relación con alguien que no despierta una gran pasión a primera vista.	De uso actual
Con la intención basta	Se emplea para agradecer a alguien su intento de ayudarnos en algo, al tiempo que se le indica que vamos a recurrir a su ayuda.	De uso actual
Cría cuervos, y te sacarán los ojos	La costumbre de este ave carnívora de comer los cadáveres empezando por los ojos sirve para simbolizar la ingratitud, al desagradecido que paga con el mal el bien que le han hecho. Por el elevado número de ingratos, este refrán recomienda ser prudentes al hacer favores.	De uso actual
Cualquier tiempo pasado fue mejor	Se añora lo que se ha perdido, aquello de lo que no se puede disfrutar. Es lógico que diga esta evocación nostálgica de tiempos anteriores quien ha cumplido ya años y, junto con la juventud perdida, echa de menos otras costumbres y otras circunstancias que considera preferibles a las presentes.	De uso actual
Cuando el río suena, agua lleva	Explica que de cualquier indicio se puede deducir un hecho. Se aplica en particular para afirmar de cualquier rumor que tiene algún fundamento.	De uso actual
Cuando las barbas de tu vecino veas pelar, pon las tuyas a remojar	Si acontece alguna desgracia a quienes son de nuestra condición y trato, debemos temer que otro día pueda sucedernos y , por tanto, estar prevenidos para que el golpe no sea tan fuerte.	De uso actual
Cuando una puerta se cierra, otra se abre	Este refrán tratar de consolar a quien está sufriendo algún infortunio, afirmando que, tras una circunstancia adversa, suele venir otra favorable.	De uso actual
Culo veo, culo quiero	Censura jocosamente a los caprichosos, a quienes se les antoja cuanto ven.	De uso actual
De casta le viene al galgo el ser rabilargo	Los hijos heredan las cualidades de sus progenitores.	De uso actual
Del agua mansa líbreme Dios, que de la brava me libraré yo	Un río aparentemente tranquilo puede esconder remolinos y hoyas, por lo que resulta más temible que un río de corriente violenta. Aplicado a las personas, este refrán da a entender que las personas de carácter tranquilo pueden mostrarse sumamente irascibles, cuando se enojan, con la consiguiente sorpresa para quienes tenían otra impresión de ellas.	De uso actual
De lo que no cuesta, lleno la cesta	Se emplea cuando alguien obsequia pródigamente con lo de los demás, precisamente porque a él no le supone gasto o pérdida. Recrimina irónicamente los excesos o las exigencias de ciertas personas. Cuando no hay que pagar, la gente no suele poner límite a su afán de acaparar.	De uso actual
Dentro de cien años, todos calvos	Transcurrido ese tiempo ya habremos muerto  y nustra cabeza se reducirá a una calavera; por tanto, estaremos libres de las miserias de esta vida.	De uso actual
De perdidos, al río	Se dice cuando se ha iniciado ya una acción y hay que procurar terminarla pese a su peligrosidad y aceptando todas las consecuencias. Se emplea para indicar que, ante una situación muy difícil, se opta por la solución más descabellada, en este caso representada por la decisión de tirarse al río, por ejemplo, ante el avance del enemigo o un fuego. Tal opción se debe ante la desesperación que conduce a que ya nada importe, o ante la idea de lo que más absurdo representa la única solución.	De uso actual
Desnudar un santo para vestir otro	Se emplea cuando se intenta arreglar algo estropeando otra cosa.	De uso actual
Despacio y buena letra, dice el maestro en la escuela	Conviene no apresurarse en ejecutar una labor o tarea, con el fin de que salga lo más perfecta posible. En general, se emplea para recomendar calma en la obtención de algo.	De uso actual
De todo hay en la viña del Señor	Se emplea para indicar que, en este mundo, hay personas de cualquier condición y naturaleza.	De uso actual
Dicho y hecho	Se dice cuando se ejecuta algo inmediatamente después de haberlo decidido.	De uso actual
Dios aprieta, pero no ahoga	Recomienda la conformidad en la desgracia y la confianza en Dios.	De uso actual
Donde fueres, haz lo que vieres	Recomienda, por educación, acomodarse a las costumbres y usos del país en el que uno se encuentra, al tiempo que aconseja no singularizarse saliendo de los modos y usos establecidos en cada lugar para evitar conflictos.	De uso actual
Donde hay patrón, no manda marinero	El subordinado no puede mandar si hay un jefe, pues ha de acatarse la decisión de quien detenta la autoridad, pese a la valía que puedan tener sus iniciativas propias. El subordinado suele emplear este refrán para reconocer su categoría social y el jefe suele decirlo para recordársela al subordinado.	De uso actual
Donde menos se piensa salta la liebre	La gran ligereza de la liebre sirve para aludir a los sucesos repentinos e inesperados.	De uso actual
¿Dónde va Vicente? Donde va la gente	Se critica a las personas carentes de criterio personal que imitan el comportamiento de otros.	De uso actual
Dos que duermen en un colchón, se vuelven de la misma condición	La convivencia estrecha de los cónyuges suele traer como consecuencia que acaben coincidiendo en actitudes y modo de pensar.	De uso actual
El buen paño, en el arca se vende	Los productos con buena reputación o de excelente calidad no necesitan propaganda ni ser examinadas. Antiguamente era un modo de ensalzar un producto, pero modernamente alude más bien a la modestia y a la discreción.	De uso actual
El buey suelto bien se lame	Así como el buey alcanza a lamerse por todas partes al no estar atado al yugo, quien no sirve a nadie hace su voluntad sin tener que depender de los demás. La paremia, por tanto, señala lo apreciable de la libertad. También se aplica esta paremia a la persona que, por estar soltera, no tiene las ataduras del matrimonio.	De uso actual
El burro delante, para que no se espante	Se refiere con sorna a quienes no guardan las normas de urbanidad y siempre quieren ir en cabeza. También se dice cuando queremos que se aparte alguien que se ha puesto delante y no nos deja ver.	De uso actual
El comer y el rascar, todo es empezar	Se utiliza este refrán para animar a alguien a iniciar algo que no le agrada, o para que coma quien se confiesa desganado. En un sentido más amplio, señala que lo más difícil de cualquier empresa es el comienzo. En ocasiones se dice a quien está algo remiso a tomar alimento, por cortesía.	De uso actual
El fin justifica los medios	Se emplea esta paremia para excusar cualquier vía o procedimiento no muy honesto que lleve a un fin presumiblemente bueno.	De uso actual
El hábito no hace al monje	Recomienda no juzgar a las personas por su aspecto externo, pues no siempre el exterior corresponde al interior.	De uso actual
El hambre agudiza el ingenio	No hay mejor estímulo y maestro que la necesidad.	De uso actual
El hombre propone, y Dios dispone	Se emplea cuando surge un obstáculo o un imprevisto que trastoca o destruye nuestros planes y expectativas. Refleja un sentido providencialista de la vida humana.	De uso actual
El hombre y el oso, cuanto más feo, más hermoso	Alude a la belleza masculina, al señalar que, en el hombre la belleza no es importante para su virilidad y atractivo. En ocasiones puede emplear este refrán un hombre poco agraciado como argumento justificativo.	De uso actual
El ojo del amo engorda el caballo	El propietario de un bien o de un negocio debe estar muy pendiente de él, si quiere que funcione bien.	De uso actual
El perro del hortelano, que ni come ni deja comer	Reprende a quien no disfruta de algo y además impide que otros lo hagan.	De uso actual
El pez grande se come al chico	Se utiliza cuando alguien abusa de su fuerza o poder.	De uso actual
El primer paso es el que cuesta	Alienta a emprender alguna tarea, cuando iniciarla requiere mucho esfuerzo.	De uso actual
El que al cielo escupe, en la cara le cae	Recrimina la excesiva arrogancia, al tiempo que advierte que es frecuente que reciba su merecido.	De uso actual
El que algo quiere, algo le cuesta	Con frecuencia, para conseguir algo, es necesario luchar bastante para superar las dificultades que puedan presentarse, pues, por lo general, toda obra tiene sus dificultades.	De uso actual
El que avisa no es traidor	Se dice esta paremia para prevenir a alguien de que tendrá que atenerse a las consecuencias si no respeta algo establecido.	De uso actual
El que busca, halla	El esfuerzo y la inteligencia son necesarias para obtener lo que se desea.	De uso actual
El que espera, desespera	Alude al sufrimiento que padece quien vive en una esperanza incierta de conseguir lo que desea.	De uso actual
El que no corre, vuela	Alude irónicamente a quienes, cuando hay algo de interés, se adelantan a los demás para obtener el beneficio o aprovechar la oportunidad. En cierto modo, recomienda no dormirse, pues luego será tarde.	De uso actual
El que no llora, no mama	Si se quiere lograr algo, hay que pretenderlo e, incluso, solicitarlo repetidas veces o despertando la compasión.	De uso actual
El que no se consuela es porque no quiere	Recomienda adoptar una actitud optimista ante cualquier inconveniente, porque se sobrelleva mucho mejor.	De uso actual
El que tiene boca, se equivoca	Advierte que todos podemos equivocarnos y, por tanto, se emplea este refrán para disculpar las equivocaciones.	De uso actual
El que tiene padrino, se bautiza	Si contamos con la ayuda de alguien, es posible que logremos nuestros propósitos. Se emplea para recordar la necesidad de contar siempre con influencias y recomendaciones (los vulgares enchufes).	De uso actual
El que tuvo, retuvo	Se refiere a la persona que conserva su atractivo, su vigor o su habilidad, pese al paso de los años.	De uso actual
El que venga detrás, que arree	Se emplea para indicar que se ha trabajado bastante y, si alguien viene de nuevas, debe ponerse a la altura de los demás.	De uso actual
El saber no ocupa lugar	Indica que el saber no presenta ningún tipo de inconveniente, nunca estorba.	De uso actual
El tiempo es oro	Invita a ser diligentes en nuestros asuntos, a la vez que recuerda que la vida es breve, por lo que se debe aprovechar el tiempo que se nos concede.	De uso actual
El tiempo lo dirá	Aconseja esperar para ver lo que sucede, cómo se resuleve un asunto.	De uso actual
El tiempo pone a cada uno en su sitio	Se emplea cuando se ha cometido una injusticia, a modo de consuelo, pues sólo cabe esperar que la situación cambie y la verdad aflore a la vista de todos.	De uso actual
El tiempo todo lo cura	Hay problemas, males o situaciones que sólo se resuelven con el paso del tiempo o al acomodarnos a ellos. El refrán se refiere en especial a los males morales, como los causados por el amor, no a los físicos	De uso actual
El último mono es el que se ahoga	Quien queda al final de algo no alcanza su propósito.	De uso actual
En casa del herrero, cuchillo de palo	Advierte que suele faltar alguna cosa en el lugar donde es natural o fácil hacerla o conseguirla. También se emplea cuando los hijos no siguen la misma vía profesional de sus progenitores.	De uso actual
En el país de los ciegos, el tuerto es rey	Un mediocre parece bueno entre gente sin ningún valor. En un sentido más amplio, se aplica a lo que es mediano y parece bueno entre lo malo.	De uso actual
En el pecado lleva la penitencia	Se advierte que cada cual pagará las consecuencias de sus actos.	De uso actual
En la guerra y en el amor, todo vale	Excusa lo que se hace en esos trances bélicos u amorosos.	De uso actual
En la variedad está el gusto	Se estima que el contraste, o al menos la diversidad, suele agradar.	De uso actual
Es de bien nacidos ser agradecidos	Las personas que se han criado en una buena familia saben reconocer y agradecer a quienes les prestaron ayuda.	De uso actual
Gato escaldado, del agua fría huye	Quien ha padecido algún daño en una situacón peligrosa teme hasta la apariencia de aquello que le ha hecho sufrir. En un sentido más general, este refrán indica que una experiencia dolorosa nos vuelve muy desconfiados.	De uso actual
Hablando del rey de Roma, por la puerta asoma	Se emplea cuando se presenta inesperadamente la persona de la que se está hablando.	De uso actual
Haz bien y no mires a quién	Muestra que se debe hacer el bien de forma desinteresada.	De uso actual
Juan Palomo, yo me lo guiso y yo me lo como	Recrimina a la persona que actúa sin ayuda de nadie y no comparte los beneficios de lo que hace.	De uso actual
La avaricia rompe el saco	Por lo general, el ansia  por conseguir algo desmesurado frustra la obtención de una ganancia aceptable.	De uso actual
La cabra siempre tira al monte	La preferencia de este animal por los lugares accidentados y altos sirve para indicar que cada uno obra con regularidad de acuerdo con su origen o naturaleza. Se suele emplear con sentido peyorativo, para calificar negativamente las tendencias, a menudo heredadas, de la conducta de una persona.	De uso actual
La cara es el espejo del alma	En el rostro se refleja el estado de salud y de ánimo, así como su carácter.	De uso actual
La esperanza es lo último que se pierde	Las personas procuran aferrarse al deseo que esperan ver cumplido.	De uso actual
La música amansa las fieras	Alude al efecto tranquilizador que ejerce la música y se puede aplicartanto a animales como a humanos. En un sentido más amplio, se refiere a la música como medio para llegar a un entendimiento pacífico entre países y culturas.	De uso actual
La primavera la sangre altera	Alude a los cambios que se producen con la llegada de esta estación en el comportamiento de los animales y, en particular, en el de las personas. Los cambios van referidos, más bien, a que se despierta la sensualidad y hay más posibilidades de relacionarse los dos sexos.	De uso actual
La procesión va por dentro	Se aplica a la persona que se encuentra en una situación difícil pero disimula o no exterioriza el sufrimiento que está padeciendo.	De uso actual
Las comparaciones son odiosas	No conviene comparar personas o cosas entre sí, para evitar que alguna se sienta menospreciada o porque cada una tiene sus propios valores.	De uso actual
Las cosas de palacio van despacio	Denota la lentitud con que se realiza algo, en especial los trámites burocráticos de la Administración.	De uso actual
Las cuentas claras, y el chocolate espeso	No conviene mezclar la amistad con los negocios, pues se puede correr el riesgo de perderla.	De uso actual
Las desgracias nunca vienen solas	Se aplica cuando aparecen varias contrariedades o disgustos a la vez o una tras otra.	De uso actual
Las paredes oyen	Recomienda ser prudente al decir algo que se desea permanezca secreto, porque puede darse a conocer.	De uso actual
Las prisas nunca son buenas	Recomienda actuar con calma.	De uso actual
La suerte de la fea, la bonita la desea	Se considera que la mujer fea hace mejor casamiento que la hermosa. Se emplea también en un sentido más amplio, cuando la fortuna sonríe a una persona poco agraciada.	De uso actual
La vida no es un camino de rosas	Resulta habitual encontrar todo tipo de dificultades en esta vida. Se emplea para aludir a los obstáculos que aparecen cada día.	De uso actual
Lo barato sale caro	Quien compra género de mala calidad y poco durarero, por ser barato y con la intención de ahorrar, deberá con el tiempo comprarlo de nuevo. Por eso, se recomienda adquirir género de mejor calidad, aunque sea más caro que el género ordinario.	De uso actual
Lo bueno, si breve, dos veces bueno	Recomienda brevedad en todo lo que se haga.	De uso actual
Lo comido es lo seguro	Lo que ya se ha conseguido no se puede perder. Se aplica con frecuencia a las situaciones en las que hay que tomar una decisón entre dos cosas, una segura y otra incierta.	De uso actual
Lo comido por lo servido	Puede ocurrir que hayamos hecho un trabajo sin obtener ganancia alguna, porque los gastos se equiparan con los beneficios, por lo que ni se gana ni se pierde.	De uso actual
Lo cortés no quita lo valiente	Denota que es compatible la educación y el respeto a los demás con la defensa de los derechos o las opiniones personales.	De uso actual
Lo prometido es deuda	Se dice para recordar el cumplimiento de una promesa o cuando se devuelve algo.	De uso actual
Lo que no mata, engorda	Se emplea cuando se está comiendo algo de calidad dudosa, pero se va a comer todas formas.	De uso actual
Lo que no va en lágrimas va en suspiros	Denota que unas cosas se compensa con otras. También puede significar que lo que se ahorra por un concepto se gasta por otro, por loq ue viene a ser lo mismo.	De uso actual
Lo que sea sonará	Se dice para expresar conformidad ante una situación. No debe uno preocuparse por lo que todavía no ha sucedido y, por consiguiente, debe esperar el resultado con calma.	De uso actual
Los amigos de mis amigos son mis amigos	Se emplea cuando se conoce a un amigo de un amigo nuestro, con el objeto de darle a entender que puede contar también con nuestra amistad.	De uso actual
Los años no pasan en balde	Se emplea para aceptar con tristeza los efectos del paso del tiempo, en especial las enfermedades.	De uso actual
Los árboles no dejan ver el bosque	Se dice cuando alguien no puede ver un asunto o una situación en su conjunto porque está prestando atención a los detalles.	De uso actual
Los extremos se tocan	En ocasiones, puede suceder que dos actitudes opuestas presenten entre sí más semejanzas que otras más moderadas.	De uso actual
Los malos tragos hay que pasarlos pronto	Recomienda enfrentarse con decisión a las situaciones difíciles.	De uso actual
Los negocios son los negocios	En cuestiones económicas no se puede tener en cuenta la amistad.	De uso actual
Los reyes y los jueces no se casan con nadie	La imparcialidad va unida a la justicia. Deben ser imparciales quienes han de impartir justicia, como los reyes o los jueces.	De uso actual
Los tiempos cambian	Anima a adaptarse a los cambios sociales y no lamentarse en exceso al comparar dos situaciones.	De uso actual
Los trapos sucios se lavan en casa	Recomienda resolver las diferencias dentro del ámbito famiiar, sin dar explicaciones a extraños.	De uso actual
Mal de muchos, consuelo de tontos	La desgracia no es más llevadera cuando afecta a un número importante de personas.	De uso actual
Marzo ventoso y abril lluvioso sacan a mayo florido y hermoso	Este refrán enseña el tiempo que conviene para estos meses, con el objeto de tener buenas cosechas.	De uso actual
Más sabe el diablo por viejo que por diablo	El paso de los años aporta un gran número de conocimientos.	De uso actual
Más vale caer en gracia que ser gracioso	A veces puede más la fortuna y dicha de un individuo que su propio mérito (DRAE, 1914, 1925). La complacencia y amor se fundan muchas veces más en la casualidad que el mérito (Terreros).	De uso actual
Más vale estar solo que mal acompañado	Manifiesta que es preferible la soledad a una mala compañía.	De uso actual
Más vale lo malo conocido que lo bueno por conocer	No conviene arriesgar lo que se tiene por algo aparentemente mayor, pero cuya pertenencia puede ser dudosa.	De uso actual
Más vale pájaro en mano que ciento volando	Se aplica a quienes dejan situaciones o cosas seguras, esperando otras mejores pero inciertas.	De uso actual
Más vale pedir que hurtar	Frase que suelen decir los mendigos para conmover a que se les socorra.	De uso actual
Más vale ponerse una vez colora(d)o que ciento amarillo	Recomienda afrontar con decisión las situaciones difíciles, con el objeto de no arrepentirse después por no haberlo hecho en su momento.	De uso actual
Más vale que sobre que no que falte	Es preferible la abundancia a la escasez, pasarse a no llegar.	De uso actual
Más vale un mal arreglo que un buen pleito	Conviene llegar a un acuerdo, aunque no sea muy ventajoso, y evitar los pleitos por ser bastante costosos y de resultados inciertos.	De uso actual
Mente sana en cuerpo sano	Recomienda cuidar tanto la salud del cuerpo como la de la mente.	De uso actual
Muchos pocos hacen un mucho	No se debe desechar las ganancias cortas por insignificantes que puedan parecer, pues son elevadas si se las reúne. Lo mismo se puede afirmar de los desperdicios cortos, porque pueden causar gran daño, si son continuados.	De uso actual
Muchos son los llamados y pocos los escogidos	Se emplea para afirmar que el número de los que tienen éxito es menor que el de los que aspiran a él.	De uso actual
Nadar y nadar, y ahogarse a la orilla	Alude al fatal desenlace que se produce en ocasiones tras un gran esfuerzo, justo cuando se está a punto de lograr su intento.	De uso actual
Nadie nace enseñado	Por lo general, todo se aprende mediante la experiencia o el estudio.	De uso actual
Nadie se acuerda de Santa Bárbara hasta que truena	Recrimina a quienes se olvidan de quien, una vez conseguido un beneficio, se olvida de quien lo ha hecho posible.	De uso actual
Nadie se meta donde no le llamen	Recomienda no entrometerse en asuntos ajenos, en los que no es requerido.	De uso actual
Ninguno escarmienta en cabeza ajena	La experiencia ajena no es suficiente para desengañarnos, por lo que sólo aprendemos de nuestro errores o desgracias.	De uso actual
Ni son todos los que están, ni están todos los que son	Se dice para indicar que falta alguien en una reunión.	De uso actual
No da quien quiere sino quien tiene y quiere	No es suficiente con la intención para ayudar a los demás, pues lógicamnete hace falta tener algo para compartir.	De uso actual
No es lo mismo predicar que dar trigo	Resulta más fácil dar consejos que practicar lo que se aconseja.	De uso actual
No es tan bravo el león como lo pintan	Se dice cuando se comprueba que una persona no es tan temible o desagradable como se creía en un principio. También se puede aplicar a un negocio que se tenía por más difícil de lo que ha sido en realidad.	De uso actual
No hay enemigo pequeño	No conviene despreciar nada, por insignificante que pueda parecer.	De uso actual
No hay mal que cien años dure	Con este refrán se trata de consolar a quien padece una desgracia, con la esperanza de que no es duradero.	De uso actual
No hay mayor desprecio que no hacer aprecio	En ocasiones, el ignorar la existencia de algo o de alguien causa un gran daño.	De uso actual
No hay mejor lotería que el trabajo y la economía	La esperanza de enriquecerse ha de cifrarse fundamentalmente tanto en el trabajo como en el ahorro y no en los juegos de azar.	De uso actual
No hay peor ciego que el que no quiere ver	Resulta inútil convencer a alguien de que vea lo que no quiere ver.	De uso actual
No hay peor sordo que el que no quiere oír	Resultan inútiles las razones con que se intenta persuadir al que con tenacidad y malicia no quiere atender a las razones de otro.	De uso actual
No hay que fiarse de las apariencias	Recomienda ser cautos y desconfiar de las apariencias engañosas.	De uso actual
No hay que mezclar churras con merinas	Recomienda no colocar en el mismo plano temas o personas de naturaleza muy distinta.	De uso actual
No hay regla sin excepción	Denota que cualquier dicho o afirmación no siempre se cumple, pues no puede verificarse en todos los casos posibles.	De uso actual
No hay rosa sin espinas	Advierte que no se alcanza la dicha por completo, pues siempre hay algún sinsabor.	De uso actual
No muerdas la mano del que te da de comer	Recrimina al ingrato. Hay gente capaz de perjudicar a quien le ayuda.	De uso actual
No sólo de pan vive el hombre	Recuerda que el ser humano tiene más necesidades, además de las meramente alimenticias.	De uso actual
